country,country
Afghanistan,Afghanistan
Africa,Africa
Andorra,Andorra
Angola,Angola
Antigua and Barbuda,Antigua and Barbuda
Armenia,Armenia
Aruba,Aruba
Asia,Asia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Central African Republic,Central African Republic
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cyprus,Cyprus
Czechia,Czechia
Democratic Republic of Congo,Democratic Republic of Congo
Denmark,Denmark
Dominican Republic,Dominican Republic
East Timor,East Timor
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Europe,Europe
European Union (27),European Union (27)
Fiji,Fiji
Finland,Finland
France,France
French Polynesia,French Polynesia
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guyana,Guyana
High-income countries,High-income countries
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Libya,Libya
Lithuania,Lithuania
Low-income countries,Low-income countries
Lower-middle-income countries,Lower-middle-income countries
Luxembourg,Luxembourg
Macao,Macao
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Nigeria,Nigeria
North America,North America
North Macedonia,North Macedonia
Norway,Norway
Oceania,Oceania
Oman,Oman
Other Asia (not elsewhere specified),Other Asia (not elsewhere specified)
Pakistan,Pakistan
Palestine,Palestine
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South America,South America
South Korea,South Korea
Spain,Spain
Sri Lanka,Sri Lanka
Sweden,Sweden
Switzerland,Switzerland
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Upper-middle-income countries,Upper-middle-income countries
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vietnam,Vietnam
World,World
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
